contract_id,page_area,name,content
3,0,date,#{address}
3,1,point address,"Point Funding LLC
701 Poydras Street Suite 4740
New Orleans, Louisiana 70139"
3,2,name,#{full_name}
3,3,address,#{full_address}
3,4,intro,Dear #{first_name}:
3,5,Para 01,Attached is the Point Funding Promissory Note. Any omission will delay funding. It is important that the items listed below are completed in their entirety:
3,6,Para 01 list,"o The bottom right of each page indicates if initials are required.
o Sign where indicated.
o Return a Voided Check
o Complete the Electronic Funds Authorization form in its entirety."
3,7,para 02,"The completed document must be mailed or overnighted to our office prior to funding.
Please mail or overnight to:"
3,8,close address,"Point Funding LLC
701 Poydras Street Suite 4740
New Orleans, Louisiana 70139"
3,9,closing,"#{first_name} , if you have any questions please do not hesitate to contact us. Our telephone number is 504-208-4406. We are looking forward to a long-term relationship."
3,10,Footer,Sincerely;
3,11,sign to,The Point Funding Team
