contract_id,page_part,name,posx,posy
3,12,Loan Amount,30,700
3,13,start date,30,700
3,14,location,400,690
3,15,section 1,240,680
3,16,Para 01,30,660
3,17,Section 2,240,580
3,18,Para 02,30,560
3,19,Section 3,240,550
3,20,Para 03,50,530
3,21,Para 04,30,420
3,22,Para 05,100,280
3,23,Footer,10,100
3,24,Para 06,30,700
3,25,Para 07,30,630
3,26,Para 08,30,520
3,27,Para 09,30,380
3,28,Para 10,30,260
3,29,Para 11,50,200
3,30,footer B,10,10
3,31,Para 12,50,680
3,32,Para 13,30,480
3,33,Para 14,30,320
3,34,Para 15,30,100
3,35,footer C,10,10
3,36,Para 16,30,650
3,37,Para 17,30,450
3,38,footer D,10,10
3,39,Header ,30,650
3,40,Sign_from,450,450
3,41,Intro B,30,340
3,42,footer E,10,10
3,43,Intro C,240,650
3,44,addendum,30,550
3,45,footer F,10,10
3,46,Intro D,30,650
3,47,Header B,30,610
3,48,Account form A,30,580
3,49,Account form B,360,580
3,50,Author,30,400
3,51,sign info,30,380
3,52,sign notes,340,380
3,53,sign form,10,360
3,54,bank owner,10,340
3,55,maker,10,300
3,56,footer G,10,10
3,57,Intro E,240,650
3,58,Headers ,30,630
3,59,statement,30,580
3,60,sign form A,10,320
3,61,sign form A,10,300
3,62,sign form A,30,240
3,63,footer H,10,200
3,64,head payment,230,680
3,65,Para 18,30,650
3,66,Para 19,30,630
3,67,Para 20,30,580
3,68,Para 21,30,460
3,69,Para 22,30,220
3,70,Para 23,30,180
3,71,footer I,10,10
3,72,Para 24,30,650
3,73,Para 25,30,610
3,74,Para 26,30,560
3,75,Para 27,30,440
3,76,Para 28,30,250
3,77,Para 29,30,180
3,78,Backer,30,120
3,79,SIgn From,30,180
3,80,header,30,160
3,81,Para 30,30,140
3,82,footer J,10,10
3,83,Para 31,30,650
3,84,Para 32,30,600
3,85,Para 33,30,480
3,86,Para 34,30,360
3,87,Para 35,30,300
3,88,Para 36,30,240
3,89,Para 37,30,110
3,90,footer J,10,10
3,91,Para 38,30,650
3,92,Para 39,30,550
3,93,Para 40,30,480
3,94,Para 41,30,420
3,95,backer B,30,380
3,96,sign line,50,360
3,97,Guarn,70,310
3,98,Header,30,290
3,99,Para 42,30,100
3,100,Para 43,30,80
3,101,footer J,30,10
3,102,Para 44,30,650
3,103,Para 45,30,480
3,104,Para 46,30,320
3,105,Para 47,30,260
3,106,Para 48,30,180
3,107,Para 49,30,80
3,108,footer J,30,10
3,109,Para 50,30,650
3,110,Para 51,30,540
3,111,Para 52,30,480
3,112,Para 53,30,320
3,113,backer B,30,280
3,114,sign line,70,200
3,115,g - 3,50,180
3,116,footer J,10,10
