contract_id,page_area,name,content
9,0,title,<b>ASSIGNMENT OF COMMISSION CHECKLIST</b>
9,1,point address,"An Assignment of Commission is a contract that an Agency and Lender (Seller and/or third party providing financing) may choose to enter into that allows the Lender to obtain a fixed payment from the commissions paid monthly to an Agency.

It is important that both the Agency Owner and the Lender review the following checklist before completing the attached Assignment of Commission documents. Missing a step in the process will delay receipt of the first payment to Lender.
Please note that:
“Agent” – means the individual (whether Agency Owner or Key Person) who has signed the R3001 contract with Allstate “Agency” – means the entity (whether sole proprietorship or corporation) who has an R3001 contract with Allstate “Agency Name” – means the entity named on the R3001 contract, not the DBA. Agency and Agency Name are the same. “Commencement Month” – means the month in which payments commence"
9,2,name,"<b>Assignment of Commission Package</b> – The package is comprised of the following documents:
Assignment of Commission Checklist
Assignment of Commission Notice to Lender (page 1)
Commission Payment Agreement (begins on pages 2 – 6)
Deduction/Payment Authorization Form (Exhibit A, page 7)
Payment Election Form, to be completed by Lender (Exhibit B, page 8)
Assignment Processing Fee Declaration (Exhibit C, page 9)
Information about how to release and replace Assignments and Security Interests
Information about the Notice of Termination website"
9,3,address,"<b>Assignment of Commission Notice to Lender, Commission Payment Agreement, and Exhibits A & C </b> –
Both the Agent and Lender will need to read, complete and sign these documents. The Lender will need to read, complete, and sign Exhibit B."
9,4,Fee note,<b> Fees </b> – A processing fee is required to enter into the Assignment of Commission (specified by Agent and Lender on Exhibit C)
9,5,Fees,"1 month-120 months (maximum 10 years)
121 months-180 months (maximum 15 years)
Refinance (same Lender, new amount)
Entity change*
Payment needs to be submitted before the 15th of the month prior to the requested Commencement Month"
9,6,Fee list,"$810
$1080
$270
$270"
9,7,para 02,*The processing fee will be waived if the Agency Owner changes his/her business relationship with Allstate before seven deductions have been taken and paid to the Lender.
9,8,close address,<b>Submission of the completed Assignment of Commission documents to the Allstate Lending Connection®</b>
9,9,closing,"The Allstate Lending Connection® will accept assignment documents no earlier than 90 days prior to the requested Commencement Month and no later than the 15th of the month prior to the requested Commencement Month.If the completed Assignment  of Commission documents are received later than the 15th of the month prior to the requested Commencement Month, the assignment will be held and processed the following month. Both parties should expect to receive an approved copy of the assignment on or before the first week of the Commencement Month. Please contact the Allstate Lending Connection® if either party has not received the approved copy. Submit the completed documents via email, fax, or US mail. The fee must be mailed to the address below. If any incomplete or illegible documents are submitted, or <u>if the fee is not received within the time limit, approval of the Assignment of Commission will be delayed, as will payment to the Lender.</u>
Contact information for submissions of assignment documents and questions:

<b>Allstate Insurance Company</b>
<b>2775 Sanders Rd.</b>
<b>Northbrook, IL 60062 </b>

<b>Phone: </b>(847) 402-2191 
<b>Fax: </b> (877) 347-6175
<b>Email: </b><a href=""Allstatelendingconnection@allstate.com"" > Allstatelendingconnection@allstate.com <a/>
"
9,10,payment notes,"<b>Payments </b>- Our payment vendor is IBM. They are the first point of contact for payment related questions. IBM’s contact information: (800)340-0475, option 6 or <a href=""garnishments@allstate.com"" >garnishments@allstate.com. </a> Inquiries may also be faxed to Garnishments at (847)402-1635."
9,11,Footer,© 2015 Allstate Insurance Company                                                 AOC                                                  071/2017 
9,12,----,-----
9,13,header B,<b>Completing the Assignment of Commission forms and exhibits</b>
9,14,info B,"<b>It is strongly recommended that the Agent and Lender complete all forms and exhibits by entering the required information into this interactive pdf form. However, a blank copy of all forms and instructions may be printed by clicking the button below. Allstate will only accept Assignments completed by using the interactive form or by printing the form and manually completing each field. Retyping the form will not be accepted.</b>"
9,15,list label A,<b>Tips for completing the interactive pdf Assignment of Commission:</b>
9,16,list A,"o <b>Adobe Reader 7.0 </b> or higher is required.
o <b>Interactive Fields </b>-- All interactive fields are highlighted in blue. Required fields are outlined in red. Signature
fields (required) and their corresponding date fields (required) are grey and are not interactive.
o <b>Tooltips</b>-- Hovering over any field will display more information (tooltips) about what information should be
entered
o <b>Navigation</b>-- The tab key will guide the cursor from field to field. The first time a field is completed, any form field that asks for that same information is also populated. So the tab key navigates to fields that still
need to be completed.
o <b>Resetting the form</b>-- To clear all fields and start over, use the RESET FORM button. Depending on your operating system and what version of Adobe Reader you are using, you may not be able to save a completed form,
so be sure to print the completed form before closing.
o <b>Validation</b>-- To validate whether all required fields have been entered before printing the forms for signature,
click the VALIDATE button (bookmarked on the left). Missing required fields will be listed.
o <b>Submitting an Assignment</b>-- Sign and date the Assignment of Commission contract after printing and submit to the Allstate Lending Connection® as explained on page 1. "
9,17,list label B,"<b>If completing the Assignment of Commission manually (not recommended), the tooltips for some fields are listed below. Please note that submitting illegible assignments will delay processing.</b>"
9,18,list B,"o <b>Agency Name</b>-- The entity (whether sole proprietorship or corporation/LLC) who has an R3001
contract with Allstate, not the DBA
o <b>Agent Number</b> – The 5 character Agent Number associated with the location from which the Monthly Deduction
should be taken.
o <b>Monthly Deduction Amount </b>-- The amount to be deducted from Agency commissions each month
and paid to the Lender
o <b>Total Deduction Amount </b>-- The total amount that will be deducted from Agency commissions and
paid to the Lender over the life of the assignment
o <b>Agent </b>-- The Agent is the individual (whether Agency Owner or Key Person) who has signed the
R3001 contract
o <b>Lender </b>-- Name of the individual, bank or lending entity who is being assigned commission payments from
an Allstate Agency.
o <b>Lender Authorized Representative </b>-- Name of individual Lender or institutional Lender's authorized representative <b>Lender Contact</b>— Individual to contact with questions regarding the Assignment or a payment issue; may
o be the same as the individual Lender or institutional Lender's Authorized Representative
o <b>R3001 Contract Date </b>—The date of the Agency's R3001 contract with Allstate, which may or may not be the same as the date the Agent affiliated with Allstate
o <b>Business Entity</b>-- The type of business entity (either sole proprietorship or corporation/LLC) that has an R3001 contract with Allstate"
9,19,footer ,© 2015 Allstate Insurance Company                                            AOC                                             07/1/2017
9,20,comm form,"<b>Commencement Month</b> 
(month Agent and Lender request the assignment to begin)"
9,21,form input ,(month) (year)
9,22,header C,<b>ASSIGNMENT OF COMMISSION NOTICE TO LENDER</b>
9,23,Agent form B name,"_____________________________________________________________________________________________________________
Name of borrower (Name on R3001 Agreement) (This is not DBA Name of Agency)"
