contract_id,page_area,name,posx,posy
1,0,date,110,640
1,1,client name,110,620
1,2,name,110,600
1,3,address,110,570
1,4,intro,110,420
1,5,para 01,110,400
1,6,para 02,110,370
1,7,para 03,110,320
1,8,footer,110,250
1,0,sign_to,110,175
1,1,sign_from,310,175
2,2,date,110,650
2,3,Company info,110,620
2,4,full name,110,600
2,5,address,110,580
2,6,intro,110,420
2,7,para 01,110,380
2,8,para 02,110,320
2,9,para 03,110,260
2,10,footer,110,200
2,11,sign from,320,160
2,12,sign to,110,126
4,0,Date,110,700
4,1,Law Header,110,650
4,2,Confirmation,110,566
4,3,Full Name,110,554
4,4,Agency,110,542
4,5,Intro,110,450
4,6,Para 01,110,400
4,7,Para 01,110,320
4,8,Footer,110,200
4,9,Sign From,110,120
5,0,title,250,620
5,1,form A line 1,110,600
5,2,form A line 2,110,580
5,3,form A line 3,160,560
5,4,form A line 4,160,540
5,5,form A line 5,160,520
5,6,form A line 6,160,480
5,7,form A line 7,160,460
5,8,form A line 8,110,440
5,9,form A line 9,110,420
5,10,form A line 10,110,400
5,11,para 01,160,280
5,12,form B line 1,160,200
5,13,form B line 2,160,180
5,14,form B line 3,160,160
5,15,Para 02,160,140
5,16,form C line 1,160,100
5,17,form C line 2,160,80
5,18,form C line 3,160,60
6,0,Date,110,700
6,1,Full Name,110,670
6,2,Address,110,658
6,3,Reply,110,524
6,4,agent,110,512
6,5,Intro,110,450
6,6,Para 01,110,420
6,7,Para 02,110,360
6,8,Sign from,320,246
6,9,Footer,110,200
6,10,Sign_to,120,150
7,0,date,110,680
7,1,name,110,610
7,2,address,110,600
7,3,Re: Condition,110,540
7,4,intro,110,480
7,5,para 01,110,460
7,6,para 02,110,440
7,7,para 03,110,400
7,8,sign from,140,220
7,9,sign to,370,220
7,10,statement,130,160
7,11,bank address,180,120
7,12,account,360,120
3,0,date,30,580
3,1,point address,30,620
3,2,name,30,560
3,3,address,30,544
3,4,intro,30,420
3,5,Para 01,30,400
3,6,para 02,60,350
3,7,para 02,30,280
3,8,close address,60,230
3,9,closing,30,175
3,10,Footer,30,60
3,11,sign to,30,40
3,12,--,0,0
3,13,Loan Amount,30,700
3,14,start date,0,700
3,15,location,0,690
3,16,section 1,240,680
3,17,Para 01,30,660
3,18,Section 2,240,550
3,19,Para 02,60,500
3,20,Section 3,240,340
3,21,Para 03,30,300
3,22,Para 04,30,160
3,23,Para 05,30,100
3,24,Footer,0,0
3,25,Para 06,30,700
3,26,Para 07,30,700
3,27,Para 08,30,580
3,28,Para 09,30,500
3,29,Para 10,30,360
3,30,Para 11,50,60
3,31,footer B,10,10
3,32,Para 12,30,700
3,33,Para 13,30,510
3,34,Para 14,30,300
3,35,Para 15,30,160
3,36,footer C,0,0
3,37,Para 16,30,650
3,38,Para 17,30,580
3,39,footer D,0,0
3,40,Header,30,650
3,41,Sign_from,220,450
3,42,Intro B,30,300
3,43,footer E,0,0
3,44,Intro C,0,700
3,45,addendum,30,550
3,46,footer F,0,0
3,47,Intro D,30,650
3,48,Header B,30,610
3,49,Account form A,30,580
3,50,Account form B,320,580
3,51,Author,10,400
3,52,sign info,30,380
3,53,sign notes,250,380
3,54,sign form,10,160
3,55,bank owner,10,140
3,56,maker,10,80
3,57,footer G,0,0
3,58,Intro E,0,650
3,59,Headers,30,610
3,60,statement,30,580
3,61,sign form A,10,320
3,62,sign form A,10,260
3,63,sign form A,30,240
3,64,footer H,0,0
3,65,head payment,0,680
3,66,Para 18,30,650
3,67,Para 19,30,540
3,68,Para 20,30,500
3,69,Para 21,30,380
3,70,Para 22,30,260
3,71,Para 23,30,100
3,72,footer I,0,0
3,73,Para 24,30,650
3,74,Para 25,30,590
3,75,Para 26,30,510
3,76,Para 27,30,430
3,77,Para 28,30,380
3,78,Para 29,30,330
3,79,Backer,-30,280
3,80,SIgn From,-30,250
3,81,header,0,160
3,82,Para 30,30,140
3,83,footer J,0,0
3,84,Para 31,30,700
3,85,Para 32,30,650
3,86,Para 33,30,530
3,87,Para 34,30,420
3,88,Para 35,30,260
3,89,Para 36,30,200
3,90,Para 37,30,130
3,91,footer J,0,0
3,92,Para 38,30,650
3,93,Para 39,30,570
3,94,Para 40,30,510
3,95,Para 41,30,450
3,96,backer B,-30,410
3,97,sign line,-30,370
3,98,Guarn,10,358
3,99,Header,0,320
3,100,Para 42,30,290
3,101,Para 43,30,180
3,102,footer J,0,0
3,103,Para 44,30,700
3,104,Para 45,30,580
3,105,Para 46,30,460
3,106,Para 47,30,320
3,107,Para 48,30,280
3,108,Para 49,30,220
3,109,footer J,0,0
3,110,Para 50,30,700
3,111,Para 51,30,620
3,112,Para 52,30,560
3,113,Para 53,30,510
3,114,backer B,-30,440
3,115,sign line,-30,390
3,116,g - 3,20,376
3,117,footer J,0,0
9,0,Date,30,720
9,1,para 01,30,700
9,2,para 02,50,560
9,3,para 03,50,460
9,4,Fee note,50,420
9,5,Fees,100,390
9,6,Fee list,360,380
9,7,para 02,60,310
9,8,close address,10,280
9,9,closing,60,260
9,10,payment notes,30,50
9,11,Footer,0,0
9,12,-,0,0
9,13,header B,30,720
9,14,info B,30,700
9,15,list label A,30,630
9,16,list A,60,620
9,17,list label B,30,400
9,18,list B,60,360
9,19,footer,10,10
9,20,comm form,440,740
9,21,form input,460,700
9,22,header C,30,700
9,23,Agent form B name,30,660
9,24,form agent B agent num,30,640
9,25,form agent C,30,560
9,26,form agent C agency,30,110
9,27,form agent C Lending,300,110
9,28,form C Date A,30,50
9,29,form C Date B,300,50
9,30,footer,10,10
9,31,Header D,30,700
9,32,form D intro,30,680
9,33,form D sign A,30,660
9,34,form D sign B,30,640
9,35,form D label A,30,600
9,36,form D list A,30,580
9,37,form D label B,30,440
9,38,form D list B,30,400
9,39,for D list B item,30,400
9,40,for D list B item,30,380
9,41,for D list B item,30,310
9,42,for D list B item,30,250
9,43,footer,10,10
9,44,for D list B item,30,700
9,45,for D list B item,30,480
9,46,for D list B item,30,180
9,47,for D list B item,30,140
9,48,for D list B item,30,100
9,49,for D list B item,30,60
9,50,footer,10,10
9,51,for D list B item,30,700
9,52,for D list B item,30,300
9,53,for D list B item,30,240
9,54,for D list B item,30,140
9,55,footer,10,10
9,56,for D list B item,30,700
9,57,Company to,30,380
9,58,Lending fax,30,340
9,59,Lend address,300,380
9,60,to lender form,30,280
9,61,to lender form,30,260
9,62,to lender form,300,260
9,63,to lender form,30,220
9,64,to lender form,300,220
9,65,to lender form,30,180
9,66,to lender form,300,180
9,67,form,30,150
9,68,from agent form,30,140
9,69,from agent form,300,140
9,70,from agent form,30,100
9,71,from agent form,300,100
9,72,from agent form,300,60
9,73,from agent form,30,60
9,74,,30,320
9,75,footer,10,10
9,76,sub_area,30,720
9,77,form B,30,640
9,78,form C,30,610
9,79,from agent form B,220,600
9,80,from agent form B,220,560
9,81,from agent form B,220,480
9,82,from lender from B,30,440
9,83,from lender from B,220,440
9,84,from lender from B,220,400
9,85,from lender from B,220,360
9,86,from lender from B,220,320
9,87,Lender Title,30,280
9,88,Rep Sig,220,260
9,89,sign title,220,220
9,90,sign date,220,180
9,91,All state address,30,160
9,92,Attn:,30,100
9,93,footer,10,10
9,94,Header AUTH,0,700
9,95,agency name,30,660
9,96,agent,300,660
9,97,agent name,30,640
9,98,mail address,30,620
9,99,mail zip,30,600
9,100,agent phone,30,580
9,101,agent email,300,580
9,102,Business Ent,30,540
9,103,Lender Name,30,520
9,104,Lender Contact,30,500
9,105,rep note,80,490
9,106,Address,30,470
,107,city,30,380
9,108,phone,30,430
9,109,email,300,430
9,110,per month,30,400
9,111,lender agree,30,320
9,112,Notify,30,280
9,113,item 01,30,200
9,114,item 02,30,160
9,115,item 03,220,160
9,116,item 04,400,160
9,117,item 05,30,120
