contract_id,page_area,name,content
3,0,Date,#{date}
3,1,point address,"Point Funding LLC
701 Poydras Street Suite 4740
New Orleans, Louisiana 70139"
3,2,name,#{full_name}
3,3,address,#{full_address}
3,4,intro,Dear #{first_name}:
3,5,Para 01,Attached is the Point Funding Promissory Note. Any omission will delay funding. It is important that the items listed below are completed in their entirety:
3,6,Para 01 list,"o The bottom right of each page indicates if initials are required.
o Sign where indicated.
o Return a Voided Check
o Complete the Electronic Funds Authorization form in its entirety."
3,7,para 02,"The completed document must be mailed or overnighted to our office prior to funding.
Please mail or overnight to:"
3,8,close address,"Point Funding LLC
701 Poydras Street Suite 4740
New Orleans, Louisiana 70139"
3,9,closing,"#{first_name} , if you have any questions please do not hesitate to contact us. Our telephone number is 504-208-4406. We are looking forward to a long-term relationship."
3,10,Footer,Sincerely;
3,11,sign to,The Point Funding Team
3,12,-,-
3,13,Loan Amount,$ #{total_loan}
3,14,start date,#{start_date}
3,15,location,"New Orleans, Louisiana"
3,16,section 1,Section 1
3,17,Para 01,"<u>Promise to Pay .</u> FOR VALUE RECEIVED, #{full_name} (“ Maker ”) hereby promises to pay
to the order of Point Funding, LLC, a Louisiana limited liability company (“ Holder ”) the
principal sum of $ #{total_loan} (the “ Principal Amount ”) in lawful money of the United States of
America which shall be legal tender for the payment of debts from time to time, together with
Monthly Financing Fees (as defined below) which become due, any applicable Prepayment
Penalty (as defined below) and any interest becoming due at the Stated Rate (defined below)
payable as stipulated herein."
3,18,Section 2,Section 2
3,19,Para 02,"Defined Terms . As used herein, the following terms shall have the meanings given to such terms in this Section 2:

        “Monthly Financing Fees” shall equal $ #{repay_monthly} per month.
“ Maturity Date ” means the date #{repay_term1} months after the Start Date, or #{start_date}.
        “Prepayment Penalty” shall equal $ #{repay_penalty}.
        “Start Date” means date of funding, or #{repay_start}.
“ Stated Rate ” means a fixed interest rate of #{stated_rate} % per annum.
“Loan Activation Fee” shall equal $ #{loan_act_fee}."
3,20,Section 3,Section 3
3,21,Para 03,"<u>Payment Terms.</u> $ #{total_default} representing the sum of the Monthly Financing Fee for the previous
month of the loan and one- #{repay_term1} of the Principal Amount, shall be due and payable on the #{payment_mth_day}
day of each calendar month (the “ Monthly Payment Date ”) beginning #{repay_start} and ending
on the Maturity Date #{repay_mature}. Should the repayment date occur on either a weekend or
bank holiday, the funds will be debited on the preceding business day. All payments hereunder
shall be made by Maker to Holder by electronic funds transfer in accordance with the
instructions set forth on Exhibit A hereto. Interest shall accrue on any past due amount
hereunder at the Stated Rate. The loan activation fee of $ #{loan_act_fee} shall be due concurrently with the
first loan repayment."
3,22,Para 04,"<u>Computation of Interest .</u> Interest shall be computed for the actual number of days elapsed and
on the basis of a year consisting of 365 days."
3,23,Para 05,"<u>Monthly Financing Fees.</u> For and in consideration for Holder loaning Maker the Principal
Amount set forth in Section 1, Maker agrees to pay to Holder Monthly Financing Fees during the"
3,24,Footer,{N3195955.1}                ___________                 Maker Initials
3,25,Para 06,"term of the loan in accordance with Section 2 and the Payment Terms above. The Monthly
Financing Fee for the first month of the Promissory Note shall be due on the initial Monthly
Payment Date with subsequent Monthly Financing Fees due on the  #{payment_mth_day} day of each successive"
