contract_id,page_part,name,posx,posy
3,13,Loan Amount,30,700
3,14,start date,30,700
3,15,location,400,690
3,16,section 1,240,680
3,17,Para 01,30,660
3,18,Section 2,240,580
3,19,Para 02,30,560
3,20,Section 3,240,550
3,21,Para 03,50,530
3,22,Para 04,30,420
3,23,Para 05,100,280
3,24,Footer,10,100
3,25,Para 06,30,700
3,26,Para 07,30,630
3,27,Para 08,30,520
3,28,Para 09,30,380
3,29,Para 10,30,260
3,30,Para 11,50,200
3,31,footer B,10,10
3,32,Para 12,50,680
3,33,Para 13,30,480
3,34,Para 14,30,320
3,35,Para 15,30,100
3,36,footer C,10,10
3,37,Para 16,30,650
3,38,Para 17,30,450
3,39,footer D,10,10
3,40,Header ,30,650
3,41,Sign_from,450,450
3,42,Intro B,30,340
3,43,footer E,10,10
3,44,Intro C,240,650
3,45,addendum,30,550
3,46,footer F,10,10
3,47,Intro D,30,650
3,48,Header B,30,610
3,49,Account form A,30,580
3,50,Account form B,360,580
3,51,Author,30,400
3,52,sign info,30,380
3,53,sign notes,340,380
3,54,sign form,10,360
3,55,bank owner,10,340
3,56,maker,10,300
3,57,footer G,10,10
3,58,Intro E,240,650
3,59,Headers ,30,630
3,60,statement,30,580
3,61,sign form A,10,320
3,62,sign form A,10,300
3,63,sign form A,30,240
3,64,footer H,10,200
3,65,head payment,230,680
3,66,Para 18,30,650
3,67,Para 19,30,630
3,68,Para 20,30,580
3,69,Para 21,30,460
3,70,Para 22,30,220
3,71,Para 23,30,180
3,72,footer I,10,10
3,73,Para 24,30,650
3,74,Para 25,30,610
3,75,Para 26,30,560
3,76,Para 27,30,440
3,77,Para 28,30,250
3,78,Para 29,30,180
3,79,Backer,30,120
3,80,SIgn From,30,180
3,81,header,30,160
3,82,Para 30,30,140
3,83,footer J,10,10
3,84,Para 31,30,650
3,85,Para 32,30,600
3,86,Para 33,30,480
3,87,Para 34,30,360
3,88,Para 35,30,300
3,89,Para 36,30,240
3,90,Para 37,30,110
3,91,footer J,10,10
3,92,Para 38,30,650
3,93,Para 39,30,550
3,94,Para 40,30,480
3,95,Para 41,30,420
3,96,backer B,30,380
3,97,sign line,50,360
3,98,Guarn,70,310
3,99,Header,30,290
3,100,Para 42,30,100
3,101,Para 43,30,80
3,102,footer J,30,10
3,103,Para 44,30,650
3,104,Para 45,30,480
3,105,Para 46,30,320
3,106,Para 47,30,260
3,107,Para 48,30,180
3,108,Para 49,30,80
3,109,footer J,30,10
3,110,Para 50,30,650
3,111,Para 51,30,540
3,112,Para 52,30,480
3,113,Para 53,30,320
3,114,backer B,30,280
3,115,sign line,70,200
3,116,g - 3,50,180
3,117,footer J,10,10
